Team,Player,Role,Full Name,Born,Age,National Side,Batting Style,Bowling,Teams Played
Up Warriorz,Shabnim Ismail,Bowler,Shabnim Ismail,"October 5, 1988 Cape Town, Cape Province","34 Years, 4 Months, 22 Days",South Africa,Left Handed,Right-arm fast medium,"South Africa Women, Melbourne Renegades Women, Sydney Thunder Women, Loughborough Lightning"
Up Warriorz,Rajeshwari Gayakwad,Bowler,Rajeshwari Shivanand Gayakwad,"June 1, 1991 Bijapur, Karnataka","31 Years, 8 Months, 25 Days",India,Right Handed,Slow left-arm orthodox,"India Women, Karnataka, Supernovas, Trailblazers, Railways Women, India C Women"
Up Warriorz,Deepti Sharma,Bowler,Deepti Bhagwan Sharma,"August 24, 1997 Saharanpur, Uttar Pradesh","25 Years, 6 Months, 3 Days",India,Left Handed,Off break,"India Women, Trailblazers, Western Storm, India A Women, Bengal Women"
Up Warriorz,Shweta Sehrawat,Bowler,Shweta Sanjay Sehrawat,"May 10, 2006 Bulandshahr, Uttar Pradesh","18 Years, 11 Months, 30 Days",India,Right Handed,Offbreak,"Delhi Women, India A Women Under-19, India B Women Under-19, India Women Under-19"
Up Warriorz,Parshavi Chopra,All Rounder,Parshavi Chopra,"February 26, 2004 Delhi, Delhi","16 Years, 9 Months, 15 Days",India,Right Handed,Leg break,"India A Women Under-19, India Women Under-19"
Up Warriorz,Devika Vaidya,All Rounder,Devika Purnendu Vaidya,"August 13, 1997 Pune, Maharashtra","25 Years, 6 Months, 14 Days",India,Left Handed,Leg break googly,"India Women, Indian Board Presidents Women XI, Indian Board Presidents Women XI, Maharashtra Women, Velocity, India A Women, India Women Emerging, India B Women, West Zone Women"
Up Warriorz,Grace Harris,All Rounder,Grace Margaret Harris,"September 18, 1993 ","29 Years, 5 Months, 8 Days",Australia,Right Handed,Off break,"Australia Women, Brisbane Heat Women, Melbourne Renegades Women, Queensland Fire, Australia Women A, South Coast Sapphires Women"
Up Warriorz,Sophie Ecclestone,Bowler,Sophie Ecclestone,"May 6, 1999 Chester, Cheshire","23 Years, 9 Months, 21 Days",England,Right Handed,Slow left-arm orthodox,"England Women, Sydney Sixers Women, Supernovas, Trailblazers, Thunder, Manchester Originals Women, Lancashire Women, Spirit Women"
Up Warriorz,Tahlia McGrath,All Rounder,Tahlia May McGrath,"November 10, 1995 ","27 Years, 3 Months, 16 Days",Australia,Right Handed,Right-arm medium fast,"Australia Women, Adelaide Strikers Women, Thunder, South Australian Scorpions, Australia Governor Generals XI, Australia Women A, Southern Brave Women, Cricket Australia XI Women"
Up Warriorz,Lauren Bell,Bowler,Lauren Katie Bell,"January 2, 2001 Swindon, Wiltshire","22 Years, 1 Months, 22 Days",England,Right Handed,Right-arm fast medium,"England Women, Southern Vipers, Southern Brave Women, England Women A"
Up Warriorz,Anjali Sarvani,Bowler,Kesavarajugari Anjali Sarvani,"July 28, 1997 Kurnool, Andhra Pradesh","25 Years, 7 Months, -1 Days",India,Left Handed,Left-arm medium fast,"India Women, Railways Women, India A Women, India Women Emerging, India B Women, Andhra Women, Central Zone Women"
Up Warriorz,Kiran Navgire,Batsman,Kiran Prabhu Navgire,"September 18, 1994 ","28 Years, 5 Months, 8 Days",India,Right Handed,Off break,"India Women, Velocity, India C Women, Nagaland Women"
Up Warriorz,Simran Shaikh,All Rounder,Simran Shaikh,"January 12, 2002 ","21 Years, 1 Months, 12 Days",India,Right Handed,-,"India C Women, Mumbai Women, West Zone Women"
Up Warriorz,S. Yashasri,Batsman,Yashasree Venugopal Soppadhandi,"September 4, 2003 ","19 Years, 5 Months, 22 Days",India,Right Handed,Right-arm medium,Hyderabad Women
Up Warriorz,Laxmi Yadav,Wicket Keeper,Laxmi Yadav,"October 22, 1997 ","25 Years, 4 Months, 5 Days",India,Right Handed,Right-arm medium,"India A Women, India B Women, Delhi Women"
Gujarat Giants,Deandra Dottin,Batsman,Deandra Jalisa Shakira Dottin,"June 21, 1991 Barbados","31 Years, 8 Months, 5 Days",West Indies,Right Handed,Right-arm fast medium,"West Indies Women, Brisbane Heat Women, Perth Scorchers Women"
Gujarat Giants,Sushma Verma,Wicket Keeper,Sushma Verma Devi,"November 3, 1992 Shimla, Himachal Pradesh","30 Years, 3 Months, 23 Days",India,Right Handed,-,"India Women, India Blue Women, Indian Board Presidents Women XI, Maharashtra Women, Velocity, India A Women, India B Women"
Gujarat Giants,Mansi Joshi,Bowler,Mansi Joshi,"August 18, 1993 Roorkee, Punjab","29 Years, 6 Months, 9 Days",India,Right Handed,Right-arm medium fast,"India Women, Supernovas, India Blue Women, Indian Board Presidents Women XI, India A Women"
Gujarat Giants,Hurley Gala,Bowler,Hurley Gala,"September 19, 2006 Mumbai, Maharashtra","16 Years, 5 Months, 6 Days",India,Right Handed,Right-arm medium,"Mumbai Women, India A Women Under-19, India D Women Under-19, India Women Under-19"
Gujarat Giants,Shabnam Shakil,Bowler,Shabnam Md Shakil,"June 17, 2007 Vishakapatanam, Andhra Pradesh","15 Years, 8 Months, 9 Days",India,Right Handed,Right-arm medium,"Andhra Women, India A Women Under-19, India B Women Under-19, India Women Under-19"
Gujarat Giants,Beth Mooney,Batsman,Bethany Louise Mooney,"January 14, 1994 Shepparton, Victoria","29 Years, 1 Months, 10 Days",Australia,Left Handed,-,"Australia Women, Brisbane Heat Women, Perth Scorchers Women, Trailblazers, Northern Diamonds, Wellington Blaze, Queensland Fire, Western Australia Women, London Spirit Women, Welsh Fire Women"
Gujarat Giants,Sabbineni Meghana,Batsman,Sabbhineni Meghana,"June 7, 1996 Krishna, Andhra Pradesh","26 Years, 8 Months, 19 Days",India,Right Handed,Right-arm medium,"India Women, Trailblazers, Indian Board Presidents Women XI, Railways Women, India A Women, India Women Emerging, India B Women, India C Women, India D Women"
Gujarat Giants,Ashleigh Gardner,All Rounder,Ashleigh Katherine Gardner,"April 15, 1997 Bankstown, Sydney, New South Wales","25 Years, 10 Months, 11 Days",Australia,Right Handed,Off break,"Australia Women, Sydney Sixers Women, New South Wales Breakers, Australia Governor Generals XI, Birmingham Phoenix Women"
Gujarat Giants,Annabel Sutherland,All Rounder,Annabel Sutherland,"October 12, 2001 ","21 Years, 4 Months, 15 Days",Australia,Right Handed,Right-arm medium fast,"Australia Women, Melbourne Renegades Women, Melbourne Stars Women, Victoria Women, Australia Governor Generals XI, Australia Women Under-19, Australia Women A, Trent Rockets Women, Welsh Fire Women, Cricket Australia XI Women"
Gujarat Giants,Georgia Wareham,Bowler,Georgia Wareham,"May 26, 1999 Terang, Victoria","23 Years, 9 Months, 1 Days",Australia,Right Handed,Leg break,"Australia Women, Melbourne Renegades Women, Victoria Women, Welsh Fire Women"
Gujarat Giants,Dayalan Hemalatha,Batsman,Dayalan Hemalatha,"September 29, 1994 Madras (now Chennai), Tamil Nadu","28 Years, 4 Months, 28 Days",India,Right Handed,Off break,"India Women, Trailblazers, India Green Women, Railways Women, India A Women, India C Women, India D Women, Central Zone Women"
Gujarat Giants,Sophia Dunkley,Batsman,Sophia Ivy Rose Dunkley,"July 16, 1998 Lambeth, Surrey","24 Years, 7 Months, 11 Days",England,Right Handed,Leg break,"England Women, Trailblazers, Surrey Stars, Thunder, Southern Brave Women, South East Stars, Middlesex Women, Spirit Women"
